report_month	billing_year	billing_month	billing_cycle	billing_day	billing_amount
11/1/2023	2023	11	3	3	209687451.8
11/1/2023	2023	11	4	4	208246093.1
11/1/2023	2023	11	5	5	65429502.92
11/1/2023	2023	11	6	6	222419444
11/1/2023	2023	11	7	7	210260679.3
11/1/2023	2023	11	8	8	161127406.7
11/1/2023	2023	11	9	9	214008988.1
11/1/2023	2023	11	10	10	260817784.3
11/1/2023	2023	11	11	11	64253107.52
11/1/2023	2023	11	12	12	235117181
11/1/2023	2023	11	13	13	215005779.1
11/1/2023	2023	11	14	14	69109834.63
11/1/2023	2023	11	15	15	241684047.7
11/1/2023	2023	11	16	16	217109927.4
11/1/2023	2023	11	17	17	67476480.9
11/1/2023	2023	11	18	18	232658025.3
11/1/2023	2023	11	19	19	213579165
11/1/2023	2023	11	20	20	218273378.9
11/1/2023	2023	11	21	21	214414602.8
11/1/2023	2023	11	22	22	212663211.3
11/1/2023	2023	11	23	23	322027232.1
11/1/2023	2023	11	24	24	66644871.04
11/1/2023	2023	11	25	25	243386836.6
12/1/2023	2023	11	26	26	215096419.4
12/1/2023	2023	11	27	27	70750987.13
12/1/2023	2023	11	28	28	257759089.8
12/1/2023	2023	11	29	29	61938926.42
12/1/2023	2023	11	30	30	60377969.92
12/1/2023	2023	11	31	30	35161701.42
12/1/2023	2023	12	1	1	323766274.5
12/1/2023	2023	12	2	2	206173375.8
12/1/2023	2023	12	3	3	208524412.2
12/1/2023	2023	12	4	4	207460482.3
12/1/2023	2023	12	5	5	66216052.11
12/1/2023	2023	12	6	6	221991641.7
12/1/2023	2023	12	7	7	210239772
12/1/2023	2023	12	8	8	161720843.4
12/1/2023	2023	12	9	9	212755624.3
12/1/2023	2023	12	10	10	258080213.1
12/1/2023	2023	12	11	11	65047868.89
12/1/2023	2023	12	12	12	234928062.1
12/1/2023	2023	12	13	13	213722989.5
12/1/2023	2023	12	14	14	70257083.91
12/1/2023	2023	12	15	15	240997379.7
12/1/2023	2023	12	16	16	216298102.9
12/1/2023	2023	12	17	17	68008346.66
12/1/2023	2023	12	18	18	232020402
12/1/2023	2023	12	19	19	213047925
12/1/2023	2023	12	20	20	219044010.7
12/1/2023	2023	12	21	21	215267313.2
12/1/2023	2023	12	22	22	212414934.9
12/1/2023	2023	12	23	23	308903270.9
12/1/2023	2023	12	24	24	66608815.32
12/1/2023	2023	12	25	25	242967497.1
1/1/2024	2023	12	26	26	215256037.4
1/1/2024	2023	12	27	27	72301384.75
1/1/2024	2023	12	28	28	258055695.5
1/1/2024	2023	12	29	29	63183919.75
1/1/2024	2023	12	30	30	60966352.48
1/1/2024	2023	12	31	31	35280926.87
1/1/2024	2024	1	1	1	320726477.2
1/1/2024	2024	1	2	2	205173935.5
1/1/2024	2024	1	3	3	209387329.9
1/1/2024	2024	1	4	4	207866401.9
1/1/2024	2024	1	5	5	67117553.15
1/1/2024	2024	1	6	6	221694502.5
1/1/2024	2024	1	7	7	210387842.4
1/1/2024	2024	1	8	8	161847757
1/1/2024	2024	1	9	9	212680678.1
1/1/2024	2024	1	10	10	259794280.4
1/1/2024	2024	1	11	11	66032526.68
1/1/2024	2024	1	12	12	235397603.9
1/1/2024	2024	1	13	13	212633939.2
1/1/2024	2024	1	14	14	71135840.62
1/1/2024	2024	1	15	15	241493070.1
1/1/2024	2024	1	16	16	216945527.1
1/1/2024	2024	1	17	17	69213463.36
1/1/2024	2024	1	18	18	233191526.1
1/1/2024	2024	1	19	19	213369045.1
1/1/2024	2024	1	20	20	219757183.6
1/1/2024	2024	1	21	21	215875846.9
1/1/2024	2024	1	22	22	213774403.4
1/1/2024	2024	1	23	23	316621398.8
1/1/2024	2024	1	24	24	66917573.29
1/1/2024	2024	1	25	25	243163644.4
2/1/2024	2024	1	26	26	215203325.7
2/1/2024	2024	1	27	27	72407166.18
2/1/2024	2024	1	28	28	258360758.5
2/1/2024	2024	1	29	29	63654051.79
2/1/2024	2024	1	30	30	61317820.47
2/1/2024	2024	1	31	31	36072060.82
2/1/2024	2024	2	1	1	322279321.4
2/1/2024	2024	2	2	2	206817445.7
2/1/2024	2024	2	3	3	209358135.7
2/1/2024	2024	2	4	4	208271485.2
2/1/2024	2024	2	5	5	67534571.46
2/1/2024	2024	2	6	6	221372523.1
2/1/2024	2024	2	7	7	210281433.1
2/1/2024	2024	2	8	8	162216310.9
2/1/2024	2024	2	9	9	213090922.8
2/1/2024	2024	2	10	10	259970391.8
2/1/2024	2024	2	11	11	66567785.98
2/1/2024	2024	2	12	12	235121319
2/1/2024	2024	2	13	13	213395602.1
2/1/2024	2024	2	14	14	71205063.19
2/1/2024	2024	2	15	15	240565132.9
2/1/2024	2024	2	16	16	217035106.5
2/1/2024	2024	2	17	17	69045025.52
2/1/2024	2024	2	18	18	232784265.9
2/1/2024	2024	2	19	19	212936346
2/1/2024	2024	2	20	20	218620301.5
2/1/2024	2024	2	21	21	215706032.7
2/1/2024	2024	2	22	22	213236531.2
2/1/2024	2024	2	23	23	318273253.1
2/1/2024	2024	2	24	24	67448888.79
2/1/2024	2024	2	25	25	243166525.8
3/1/2024	2024	2	26	26	214822602.1
3/1/2024	2024	2	27	27	72838434.53
3/1/2024	2024	2	28	28	257571110.5
3/1/2024	2024	2	29	28	63698789.47
3/1/2024	2024	2	30	28	61313790.98
3/1/2024	2024	2	31	28	36250178.26
3/1/2024	2024	3	1	1	329260239.6
3/1/2024	2024	3	2	2	211360006.5
3/1/2024	2024	3	3	3	214064898.1
3/1/2024	2024	3	4	4	213480808.5
3/1/2024	2024	3	5	5	70016712.16
3/1/2024	2024	3	6	6	227846132
3/1/2024	2024	3	7	7	216574700
3/1/2024	2024	3	8	8	167945983.2
3/1/2024	2024	3	9	9	218619540.1
3/1/2024	2024	3	10	10	265714771.7
3/1/2024	2024	3	11	11	69367926.69
3/1/2024	2024	3	12	12	242572976.8
3/1/2024	2024	3	13	13	220880784.3
3/1/2024	2024	3	14	14	74736146.98
3/1/2024	2024	3	15	15	249530128.7
3/1/2024	2024	3	16	16	224553339.8
3/1/2024	2024	3	17	17	72179439.32
3/1/2024	2024	3	18	18	242048767.2
3/1/2024	2024	3	19	19	221326490.5
3/1/2024	2024	3	20	20	227888882.9
3/1/2024	2024	3	21	21	225004086.6
3/1/2024	2024	3	22	22	222229911.6
3/1/2024	2024	3	23	23	326923600.4
3/1/2024	2024	3	24	24	70856403.35
3/1/2024	2024	3	25	25	253504929.1
4/1/2024	2024	3	26	26	225159904
4/1/2024	2024	3	27	27	77243326.4
4/1/2024	2024	3	28	28	269773785.8
4/1/2024	2024	3	29	29	68716059.85
4/1/2024	2024	3	30	30	63954469.09
4/1/2024	2024	3	31	31	38497406.42
4/1/2024	2024	4	1	1	330590728.3
4/1/2024	2024	4	2	2	211553407.5
4/1/2024	2024	4	3	3	214434457
4/1/2024	2024	4	4	4	213520153.1
4/1/2024	2024	4	5	5	70433692.67
4/1/2024	2024	4	6	6	226546406.5
